"name","Role","Team"
"Oshane Thomas","bowler",""
"BR Sharath","wk/batsman",""
"Ibrahim Zadran","batsman",""
"Sanjay Pahal","all-rounder",""
"Mohit Ahlawat","wk/batsman",""
"Ravi Chauhan","all-rounder",""
"Kaushik Maity","all-rounder",""
"Amandeep Khare","batsman",""
"Rajat Dey","batsman",""
"Mrinmoy Dutta","bowler",""
"Ashwin Das","all-rounder",""
"Finn Allen","batsman",""
"Wes Agar","all-rounder",""
"Vishal Godara","bowler",""
"Riley Meredith","bowler",""
"Ishan Porel","bowler",""
"Yuvraj Chudasama","bowler",""
"Ekant Sen ","batsman",""
"Shoriful Islam","bowler",""
